Identifier,Digital Currency,Family,BitGo Environment,Release status
eurs,Stasis EURS ERC20 token,Account,Production,Enterprise access
eurx,eToro Euro ERC20 token,Account,Production,Enterprise access
eux,EUR Stable Token ERC20 token,Account,Production,Enterprise access
exe,EXE Token ERC20 token,Account,Production,Enterprise access
fet,Fetch ERC20 token,Account,Production,Enterprise access
fmf,Formosa Financial ERC20 token,Account,Production,Enterprise access
ftt,FTX Token ERC20 token,Account,Production,Enterprise access
fun,FunFair ERC20 token,Account,Production,Enterprise access
fxrt,FXRT ERC20 Token,Account,Production,Enterprise access
gbpx,eToro Pound Sterling ERC20 token,Account,Production,Enterprise access
gen,DAOstack ERC20 token,Account,Production,Enterprise access
gldx,eToro Gold ERC20 token,Account,Production,Enterprise access
gno,Gnosis ERC20 token,Account,Production,Enterprise access
gnt,Golem ERC20 token,Account,Production,Enterprise access
got,GoExchange ERC20 token,Account,Production,Enterprise access
gto,Gifto ERC20 Token,Account,Production,Enterprise access
gusd,Gemini Dollar ERC20 token,Account,Production,Enterprise access
hedg,Huobi Token ERC20 token,Account,Production,Enterprise access
hkdx,eToro Hong Kong Dollar ERC20 token,Account,Production,Enterprise access
hlc,HalalChain ERC20 token,Account,Production,Enterprise access
hold,Hold ERC20 token,Account,Production,Enterprise access
hot,Holo ERC20 Token,Account,Production,Enterprise access
hqt,HyperQuant ERC20 token,Account,Production,Enterprise access
hst,Decision Token ERC20 token,Account,Production,Enterprise access
ht,Huobi Token ERC20 token,Account,Production,Enterprise access
hxro,Hxro ERC20 token,Account,Production,Enterprise access
hyb,Hybrid Block ERC20 token,Account,Production,Enterprise access
hydro,Hydro ERC20 token,Account,Production,Enterprise access
incx,InternationalCryptoX ERC20 token,Account,Production,Enterprise access
ind,Indorse ERC20 token,Account,Production,Enterprise access
isr,Insureum ERC20 token,Account,Production,Enterprise access
ivy,Ivy Koin ERC20 token,Account,Production,Enterprise access
jbc,Japan Brand Coin ERC20 token,Account,Production,Enterprise access
jpyx,eToro Japanese Yen ERC20 token,Account,Production,Enterprise access
key,SelfKey ERC20 token,Account,Production,Enterprise access
kin,Kin ERC20 token,Account,Production,Enterprise access
knc,Kyber Network ERC20 token,Account,Production,Enterprise access
koz,KOZJIN Token ERC20 token,Account,Production,Enterprise access
kze,Almeela ERC20 token,Account,Production,Enterprise access
lba,Cred ERC20 token,Account,Production,Enterprise acces
leo,Bitfinex LEO ERC20 token,Account,Production,Enterprise access
lgo,LGO Exchange ERC20 token,Account,Production,Enterprise access
link,Chainlink ERC20 Token,Account,Production,Enterprise access
lion,CoinLion ERC20 token,Account,Production,Enterprise access
lnc,Linker Coin ERC20 token,Account,Production,Enterprise access
loom,Loom Network ERC20 token,Account,Production,Enterprise access
lrc,Loopring ERC20 Token,Account,Production,Enterprise access
mco,Crypto.com ERC20 token,Account,Production,Enterprise access
mcx,MachiX ERC20 token,Account,Production,Enterprise access
mdx,Mandala ERC20 token,Account,Production,Enterprise access
medx,Medibloc ERC20 Token,Account,Production,Enterprise access
mfg,SyncFab ERC20 token,Account,Production,Enterprise access
mft,Mainframe ERC20 Token,Account,Production,Enterprise access
mfph,MFPH Token ERC20 token,Account,Production,Enterprise access
mkr,Maker ERC20 token,Account,Production,Enterprise access
met,Metronome ERC20 Token,Account,Production,Enterprise access
meta,Metadium ERC20 Token,Account,Production,Enterprise access
mith,Mithril ERC20 Token,Account,Production,Enterprise access
mtcn,Multiven ERC20 token,Account,Production,Enterprise access
mtl,Metal ERC20 token,Account,Production,Enterprise access
mvl,Mass Vehicle Ledger ERC20 token,Account,Production,Enterprise access
nas,Nebulas ERC20 token,Account,Production,Enterprise access
nexo,Nexo ERC20 token,Account,Production,Enterprise access
neu,Neumark ERC20 token,Account,Production,Enterprise access
nmr,Numeraire ERC20 token,Account,Production,Enterprise access
npxs,Pundi X ERC20 token,Account,Production,Enterprise access
nzdx,eToro New Zealand Dollar ERC20 token,Account,Production,Enterprise access
omg,OmiseGo ERC20 token,Account,Production,Enterprise access
onl,On.Live ERC20 token,Account,Production,Enterprise access
opt,OPTin Token ERC20 token,Account,Production,Enterprise access
orbs,Orbs Token ERC20 token,Account,Production,Enterprise access
pass,Blockpass ERC20 token,Account,Production,Enterprise access
pax,Paxos ERC20 token,Account,Production,Enterprise access
pay,TenX ERC20 token,Account,Production,Enterprise access
pdata,Opiria Token ERC20 token,Account,Production,Enterprise access
pma,PumaPay ERC20 Token,Account,Production,Enterprise access
plc,PlusCoin ERC20 token,Account,Production,Enterprise access
plnx,eToro Polish Zloty ERC20 token,Account,Production,Enterprise access
plx,PLN Stable Token ERC20 token,Account,Production,Enterprise access
poly,Polymath ERC20 token,Account,Production,Enterprise access
powr,Power Ledger ERC20 token,Account,Production,Enterprise access
ppt,Populous ERC20 token,Account,Production,Enterprise access
prdx,PRDX Token ERC20 token,Account,Production,Enterprise access
pro,Propy ERC20 token,Account,Production,Enterprise access
prts,Protos ERC20 token,Account,Production,Enterprise access
qash,QASH ERC20 token,Account,Production,Enterprise access
qrl,Quantum ERC20 token,Account,Production,Enterprise access
qsp,Quantstamp ERC20 token,Account,Production,Enterprise access
qvt,Qvolta ERC20 token,Account,Production,Enterprise access
rby,Ruby X ERC20 token,Account,Production,Enterprise access
rdn,Raiden Network Token ERC20 token,Account,Production,Enterprise access
reb,Regblo ERC20 token,Account,Production,Enterprise access
rebl,Rebellious ERC20 token,Account,Production,Enterprise access
rep,Augur ERC20 token,Account,Production,Enterprise access
rfr,Refereum ERC20 token,Account,Production,Enterprise access
rlc,RLC ERC20 token,Account,Production,Enterprise access
roobee,ROOBEE ERC20 token,Account,Production,Enterprise access
rubx,eToro Russian Ruble ERC20 token,Account,Production,Enterprise access
salt,Salt ERC20 token,Account,Production,Enterprise access
sgdx,eToro Singapore Dollar ERC20 token,Account,Production,Enterprise access
shk,iShook ERC20 token,Account,Production,Enterprise access
shr,ShareToken ERC20 token,Account,Production,Enterprise access
slot,AlphaSlot ERC20 token,Account,Production,Enterprise access
slvx,eToro Silver ERC20 token,Account,Production,Enterprise access
snc,SunContract ERC20 token,Account,Production,Enterprise access
snov,Snovio ERC20 token,Account,Production,Enterprise access
snt,Status Network Token ERC20 token,Account,Production,Enterprise access
spo,Sparrow Options ERC20 token,Account,Production,Enterprise access
srnt,Serenity ERC20 token,Account,Production,Enterprise access
storj,Storj ERC20 token,Account,Production,Enterprise access
storm,Storm ERC20 token,Account,Production,Enterprise access
sxp,Swipe ERC20 token,Account,Production,Enterprise access
taud,TrueAUD ERC20 token,Account,Production,Enterprise access
tcad,TrueCAD ERC20 token,Account,Production,Enterprise access
ten,Tokenomy ERC20 token,Account,Production,Enterprise access
tenx,TenX Token ERC20 token,Account,Production,Enterprise access
tgbp,TrueGBP ERC20 token,Account,Production,Enterprise access
thkd,TrueHKD ERC20 token,Account,Production,Enterprise access
tiox,Trade Token X ERC20 token,Account,Production,Enterprise access
tkx,Tokenize ERC20 token,Account,Production,Enterprise access
tnt,Tierion ERC20 token,Account,Production,Enterprise access
trst,WeTrust ERC20 token,Account,Production,Enterprise access
tryx,eToro Turkish Lira ERC20 token,Account,Production,Enterprise access
tusd,TrueUSD ERC20 token,Account,Production,Enterprise access
ukg,UnikoinGold ERC20 token,Account,Production,Enterprise access
up,UpToken ERC20 token,Account,Production,Enterprise access
upbtc,Universal Bitcoin ERC20 token,Account,Production,Enterprise access
upp,Sentinel Protocol ERC20 token,Account,Production,Enterprise access
upt,Universal Protocol Token ERC20 token,Account,Production,Enterprise access
upusd,Universal US Dollar ERC20 token,Account,Production,Enterprise access
uqc,Uquid Coin ERC20 token,Account,Production,Enterprise access
usdc,USD Coin ERC20 token,Account,Production,Enterprise access
usdt,Tether ERC20 Token,Account,Production,Enterprise access
usdx,eToro United States Dollar ERC20 token,Account,Production,Enterprise access
usx,USD Stable Token ERC20 token,Account,Production,Enterprise access
valor,ValorToken ERC20 token,Account,Production,Enterprise access
vdx,Vodi X ERC20 token,Account,Production,Enterprise access
wax,Worldwide Asset eXchange ERC20 token,Account,Production,Enterprise access
wbtc,Wrapped Bitcoin ERC20 token,Account,Production,Enterprise access
wht,Whatshalal ERC20 token,Account,Production,Enterprise access
wpx,WalletPlusX ERC20 token,Account,Production,Enterprise access
wtc,WaltonChain ERC20 token,Account,Production,Enterprise access
xcd,CapdaxToken ERC20 token,Account,Production,Enterprise access
xrl,Rialto ERC20 token,Account,Production,Enterprise access
yng,Young Token ERC20 token,Account,Production,Enterprise access
ysey,YSEY Utility Token ERC20 token,Account,Production,Enterprise access
zarx,eToro South African Rand ERC20 token,Account,Production,Enterprise access
zco,Zebi Coin ERC20 token,Account,Production,Enterprise access
zil,Zilliqa ERC20 token,Account,Production,Enterprise access
zix,Zeex ERC20 token,Account,Production,Enterprise access
zoom,CoinZoom ERC20 token,Account,Production,Enterprise access
zrx,0x ERC20 token,Account,Production,Enterprise access
talgo,Algorand Testnet,Account,Test,Enterprise access
tbtc,Bitcoin Testnet,UTXO-based,Test,General availability
tbch,Bitcoin Cash Testnet,UTXO-based,Test,General availability
tbsv,Bitcoin SV Testnet,UTXO-based,Test,General availability
tdash,Dash Testnet,UTXO-based,Test,General availability
teth,Ethereum Kovan Testnet,Account,Test,Enterprise access
terc,Ethereum ERC20 Token Testnet,Account,Test,Enterprise access
test,Test Mintable ERC20 Token Testnet,Account,Test,Enterprise access
tltc,Litecoin Testnet,UTXO-based,Test,General availability
trmg,Royal Mint Gold Testnet,UTXO-based,Test,Enterprise access
txlm,XLM Testnet,Account,Test,General availability
txrp,XRP Testnet,Account,Test,Enterprise access
tzec,Zcash Testnet,UTXO-based,Test,Enterprise access
